date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over
18-03-2020,TeamOne,Recon 5,1,2340454,5151,3,123412,Vertigo,Train,0,Nuke,Overpass,0,Dust2,Inferno,Mirage
18-03-2020,Rugratz,Bad News Bears,0,2340453,5151,3,123412,Dust2,Nuke,0,Mirage,Train,0,Vertigo,Inferno,Overpass
18-03-2020,New England Whalers,Station7,0,2340461,5243,1,121212,Mirage,Dust2,Vertigo,Nuke,Train,Overpass,0,0,Inferno
17-03-2020,Complexity,forZe,1,2340279,5226,3,123412,Inferno,Nuke,0,Overpass,Vertigo,0,Dust2,Train,Mirage
17-03-2020,Singularity,Endpoint,0,2340456,5247,3,123412,Train,Mirage,0,Nuke,Inferno,0,Overpass,Vertigo,Dust2
17-03-2020,BIG,fnatic,1,2340397,5226,3,123412,Train,Dust2,0,Nuke,Vertigo,0,Inferno,Overpass,Mirage
17-03-2020,New England Whalers,District 7,0,2340130,5243,1,121212,Vertigo,Train,Mirage,Dust2,Inferno,Overpass,0,0,Nuke
17-03-2020,Alcoholics Anonymous,Station7,0,2340131,5243,1,121212,Nuke,Overpass,Inferno,Train,Vertigo,Dust2,0,0,Mirage
17-03-2020,Airborne,Paradox,1,2340443,5236,3,123412,Train,Dust2,0,Vertigo,Overpass,0,Nuke,Mirage,Inferno
17-03-2020,Skyfire,Rooster,1,2340444,5236,3,123412,Dust2,Vertigo,0,Train,Nuke,0,Inferno,Overpass,Mirage
17-03-2020,Espada,Tricked,0,2340455,5247,3,123412,Vertigo,Inferno,0,Overpass,Mirage,0,Dust2,Nuke,Train
17-03-2020,HellRaisers,AGO,1,2340449,5150,3,123412,Nuke,Mirage,0,Overpass,Dust2,0,Inferno,Train,Vertigo
17-03-2020,Movistar Riders,Sprout,1,2340447,5150,3,123412,Dust2,Train,0,Overpass,Vertigo,0,Inferno,Mirage,Nuke
17-03-2020,Nordavind,GamerLegion,1,2340450,5150,3,123412,Train,Overpass,0,Dust2,Inferno,0,Vertigo,Mirage,Nuke
17-03-2020,Japaleno,pro100,1,2340448,5150,3,123412,Vertigo,Mirage,0,Nuke,Overpass,0,Inferno,Dust2,Train
17-03-2020,North,Natus Vincere,1,2340396,5226,3,123412,Train,Inferno,0,Vertigo,Mirage,0,Nuke,Dust2,Overpass
16-03-2020,Infinity,Thunder Logic,0,2340319,5151,1,121212,Overpass,Nuke,Vertigo,Train,Inferno,Mirage,0,0,Dust2
16-03-2020,Thunder Logic,TeamOne,0,2340426,5151,1,121212,Train,Nuke,Dust2,Inferno,Overpass,Vertigo,0,0,Mirage
16-03-2020,Chaos,Monstars,0,2339553,5151,1,121212,Mirage,Train,Overpass,Nuke,Vertigo,Dust2,0,0,Inferno
16-03-2020,Bad News Bears,Station7,0,2340315,5151,1,121212,Mirage,Dust2,Vertigo,Nuke,Train,Overpass,0,0,Inferno
